construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,77,1,22,33,33,0,4,1.2366,1,93,11,,~?@L?Bcw????????[?R_??????????????@o??f??????????????????????B_???f?????????????????????????????B_????R_?????O?????????????????@???????????@o?????Cw???????????@??????@???????_??????G?????????[???????f????????????G???????C???????@????????G????????????B_???????A[????????????_????????G????????@?????????C????????????????M?????????Cw???????????@??????????G??????????_?????????@????????????????????[??????????Cw???????????@???????????C?????????????????G???????????G?????????????????[???????????A[
single,84,1,24,36,36,0,4,1.2366,1,93,12,,~?@S?Bcw????????[?R_??????????????@o??f??????????????????????B_???f?????????????????????????????B_????R_???????????????????????????????????@o?????Cw?????????????_??????_??????O??????C????????[???????f?????????????C???????A????????_???????C???????????B_???????A[?????????????O????????C?????????_????????A???????????????M?????????Cw?????????????_?????????C??????????O??????????_??????????????????[??????????Cw?????????????_??????????A???????????C???????????C??????????????????????[???????????A[?????????????O????????????_????????????_????????????O?????????????????????????M?????????????f
single,16,1,5,7,7,0,6,1.465,1,589,2,,O??ED{?@?OA?G?O??E?@^
single,24,1,7,11,11,0,6,1.5348,1,589,3,,W??ED{?O??????G??E?@^???C??O??_???A??A????W??@^
single,32,1,10,14,14,0,6,1.465,1,589,4,,_??ED{???????????E?@^????@??C??G??G??C????W??@^????@???@????_???G???@????????E????D{
single,40,1,12,18,18,0,6,1.5069,1,589,5,,g??ED{???????????E?@^??@????????????G?????W??@^??????O???O???G???A????O??????E????D{?????@?????O????A????????G?????_???????E?????@^
single,48,1,15,21,21,0,6,1.465,1,589,6,,o??ED{???????????E?@^?????????????????????W??@^???????C???C???A????_???C?????E????D{???????O????C?????_????A?????C?????????E?????@^???????C??????O??????_??????_??????O?????????????W??????@^
single,56,1,17,25,25,0,6,1.4949,1,589,7,,w??ED{???????????E?@^?????????????????????W??@^????O?????????????????_???????E????D{????????C????@?????G?????_????@????????E?????@^????????@??????C??????G??????G??????C????????????W??????@^????????@???????@????????_???????????A????????_???????????E????????D{
single,64,1,20,28,28,0,6,1.465,1,589,8,,~?@???ED{???????????E?@^?????????????????????W??@^??????????????????????????????E????D{?????????@?????O????A?????G?????O??????E?????@^??????????O?????@??????A??????A??????@???????????W??????@^??????????O???????O???????G???????A????????O??????????????E????????D{?????????@?????????O????????A?????????G?????????O??????????????????E?????????@^
single,72,1,22,32,32,0,6,1.4883,1,589,9,,~?@G??ED{???????????E?@^?????????????????????W??@^??????????????????????????????E????D{?????O??????????????????????G??????????E?????@^???????????C??????O??????_??????_??????O?????????W??????@^???????????C???????C???????A????????_???????C?????????????E????????D{???????????O????????C?????????_????????A?????????C?????????????????E?????????@^???????????C??????????O??????????_???????????????A??????????A????????????????W??????????@^
