method,N,d_cap,d_max,d_min,d_mean,d_var,alpha,alpha_timed_out,greedy_mis,c,time_s
method3,20,10,10,9,9.6,0.24,7,0,5,1.52,0.08
method3b,20,3,3,2,2.9,0.09,9,0,9,1.2288,0.03
method3b,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method3b,20,5,5,4,4.9,0.09,7,0,7,1.0873,0.07
method3b,20,6,6,5,5.9,0.09,7,0,7,1.172,0.07
method3b,20,8,8,7,7.8,0.16,7,0,6,1.3465,0.08
method3b,20,10,10,9,9.6,0.24,7,0,6,1.52,0.09
method4,20,3,3,2,2.9,0.09,9,0,9,1.2288,0.03
method4,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method4,20,5,5,4,4.9,0.09,7,0,7,1.0873,0.05
method4,20,6,6,5,5.9,0.09,7,0,7,1.172,0.06
method4,20,8,8,7,7.9,0.09,7,0,7,1.3465,0.07
method4,20,10,10,9,9.6,0.24,7,0,5,1.52,0.08
