method,N,d_cap,d_max,d_min,d_mean,d_var,greedy_mis,alpha_sat,alpha_timed_out,c_greedy,c_sat,time_s
method3,10,4,4,3,3.8,0.16,3,3,0,0.8656,0.8656,0.01
method3,10,5,5,5,5.0,0.0,3,3,0,0.932,0.932,0.01
method1,11,3,3,2,2.909,0.083,4,5,0,0.993,1.2412,0.0
method1,11,4,4,3,3.818,0.149,4,4,0,1.0492,1.0492,0.0
method1,11,5,5,4,4.909,0.083,3,3,0,0.8473,0.8473,0.0
method2,11,3,4,1,2.545,0.793,5,5,0,1.3115,1.3115,0.0
method2,11,4,4,1,3.091,1.537,5,5,0,1.3115,1.3115,0.01
method2,11,5,5,1,3.636,2.231,4,5,0,1.1297,1.4121,0.01
method2r,11,3,4,2,2.909,0.264,4,4,0,1.0492,1.0492,0.0
method2r,11,4,4,2,3.818,0.331,4,4,0,1.0492,1.0492,0.01
method2r,11,5,5,4,4.909,0.083,3,4,0,0.8473,1.1297,0.01
method3,11,3,3,2,2.909,0.083,4,4,0,0.993,0.993,0.01
method3,11,4,4,3,3.818,0.149,4,4,0,1.0492,1.0492,0.01
method3,11,5,5,4,4.909,0.083,4,4,0,1.1297,1.1297,0.01
method1,12,3,3,3,3.0,0.0,4,4,0,0.9102,0.9102,0.0
method1,12,4,4,3,3.833,0.139,4,4,0,0.9618,0.9618,0.0
method1,12,5,5,4,4.833,0.139,4,4,0,1.0356,1.0356,0.0
method1,12,6,6,4,5.667,0.389,4,4,0,1.1162,1.1162,0.0
method2,12,3,4,1,2.667,0.722,6,6,0,1.4427,1.4427,0.0
method2,12,4,4,1,3.333,1.222,6,6,0,1.4427,1.4427,0.01
method2,12,5,5,1,4.0,2.167,5,5,0,1.2944,1.2944,0.02
method2,12,6,6,1,4.667,2.722,5,5,0,1.3953,1.3953,0.02
method2r,12,3,4,2,3.0,0.167,5,5,0,1.2022,1.2022,0.0
method2r,12,4,4,2,3.833,0.306,5,5,0,1.2022,1.2022,0.01
method2r,12,5,5,2,4.667,0.722,4,4,0,1.0356,1.0356,0.02
method2r,12,6,6,2,5.667,1.222,4,4,0,1.1162,1.1162,0.03
method3,12,3,3,3,3.0,0.0,5,5,0,1.1378,1.1378,0.01
method3,12,4,4,3,3.833,0.139,4,4,0,0.9618,0.9618,0.01
method3,12,5,5,4,4.667,0.222,4,4,0,1.0356,1.0356,0.02
method3,12,6,6,6,6.0,0.0,4,4,0,1.1162,1.1162,0.02
method1,13,3,3,2,2.923,0.071,5,5,0,1.0503,1.0503,0.0
method1,13,4,4,4,4.0,0.0,4,4,0,0.8878,0.8878,0.0
method1,13,5,5,4,4.923,0.071,4,4,0,0.9559,0.9559,0.0
method1,13,6,6,6,6.0,0.0,3,4,0,0.7728,1.0304,0.0
method2,13,3,4,1,2.769,0.485,6,6,0,1.3317,1.3317,0.01
method2,13,4,4,1,3.538,0.864,5,6,0,1.1098,1.3317,0.02
method2,13,5,5,2,4.308,1.136,5,5,0,1.1949,1.1949,0.03
method2,13,6,6,2,5.077,1.609,4,5,0,1.0304,1.2879,0.04
method2r,13,3,4,3,3.077,0.071,5,5,0,1.1098,1.1098,0.01
method2r,13,4,4,3,3.846,0.13,5,5,0,1.1098,1.1098,0.02
method2r,13,5,5,4,4.923,0.071,4,4,0,0.9559,0.9559,0.03
method2r,13,6,6,5,5.846,0.13,4,5,0,1.0304,1.2879,0.04
method3,13,3,3,2,2.923,0.071,5,5,0,1.0503,1.0503,0.01
method3,13,4,4,3,3.846,0.13,5,5,0,1.1098,1.1098,0.02
method3,13,5,5,4,4.769,0.178,4,5,0,0.9559,1.1949,0.02
method3,13,6,6,6,6.0,0.0,3,4,0,0.7728,1.0304,0.02
method1,14,3,3,3,3.0,0.0,5,6,0,0.9753,1.1703,0.0
method1,14,4,4,4,4.0,0.0,4,5,0,0.8244,1.0305,0.0
method1,14,5,5,5,5.0,0.0,4,5,0,0.8876,1.1095,0.0
method1,14,6,6,6,6.0,0.0,4,4,0,0.9568,0.9568,0.0
method2,14,3,4,1,2.857,0.408,7,7,0,1.4427,1.4427,0.01
method2,14,4,4,2,3.714,0.49,6,6,0,1.2366,1.2366,0.02
method2,14,5,5,3,4.571,0.531,5,5,0,1.1095,1.1095,0.06
method2,14,6,6,4,5.429,0.673,4,5,0,0.9568,1.196,0.06
method2r,14,3,4,2,3.0,0.143,6,6,0,1.2366,1.2366,0.01
method2r,14,4,4,3,3.857,0.122,6,6,0,1.2366,1.2366,0.02
method2r,14,5,5,5,5.0,0.0,5,5,0,1.1095,1.1095,0.05
method2r,14,6,6,6,6.0,0.0,5,5,0,1.196,1.196,0.07
method3,14,3,3,3,3.0,0.0,6,6,0,1.1703,1.1703,0.02
method3,14,4,4,3,3.857,0.122,5,5,0,1.0305,1.0305,0.03
method3,14,5,5,5,5.0,0.0,5,5,0,1.1095,1.1095,0.03
method3,14,6,6,5,5.857,0.122,5,5,0,1.196,1.196,0.03
method1,15,3,3,2,2.933,0.062,6,6,0,1.0923,1.0923,0.0
method1,15,4,4,4,4.0,0.0,5,5,0,0.9618,0.9618,0.0
method1,15,5,5,4,4.933,0.062,5,5,0,1.0356,1.0356,0.0
method1,15,6,6,5,5.867,0.116,5,5,0,1.1162,1.1162,0.0
method2,15,3,4,1,2.8,0.56,7,7,0,1.3465,1.3465,0.01
method2,15,4,4,1,3.733,0.596,7,7,0,1.3465,1.3465,0.04
method2,15,5,5,2,4.667,0.756,5,6,0,1.0356,1.2427,0.06
method2,15,6,6,4,5.6,0.507,5,5,0,1.1162,1.1162,0.09
method2r,15,3,4,2,2.933,0.196,6,6,0,1.1542,1.1542,0.01
method2r,15,4,4,2,3.867,0.249,6,6,0,1.1542,1.1542,0.03
method2r,15,5,5,3,4.8,0.293,5,6,0,1.0356,1.2427,0.07
method2r,15,6,6,5,5.867,0.116,4,5,0,0.893,1.1162,0.09
method3,15,3,3,2,2.933,0.062,6,6,0,1.0923,1.0923,0.02
method3,15,4,4,3,3.867,0.116,5,5,0,0.9618,0.9618,0.03
method3,15,5,5,4,4.933,0.062,5,5,0,1.0356,1.0356,0.04
method3,15,6,6,5,5.867,0.116,5,5,0,1.1162,1.1162,0.04
method1,16,3,3,2,2.875,0.109,6,6,0,1.024,1.024,0.0
method1,16,4,4,4,4.0,0.0,5,6,0,0.9017,1.082,0.0
method1,16,5,5,3,4.875,0.234,5,6,0,0.9708,1.165,0.0
method1,16,6,6,5,5.875,0.109,4,5,0,0.8372,1.0465,0.0
method1,16,8,8,7,7.75,0.188,4,5,0,0.9618,1.2022,0.0
method2,16,3,4,2,3.0,0.25,7,7,0,1.2624,1.2624,0.02
method2,16,4,4,3,3.875,0.109,7,7,0,1.2624,1.2624,0.04
method2,16,5,5,4,4.875,0.109,7,7,0,1.3592,1.3592,0.11
method2,16,6,6,4,5.75,0.438,5,6,0,1.0465,1.2557,0.14
method2,16,8,8,6,7.5,0.5,4,4,0,0.9618,0.9618,0.19
method2r,16,3,4,2,3.0,0.25,7,7,0,1.2624,1.2624,0.02
method2r,16,4,4,3,3.875,0.109,7,7,0,1.2624,1.2624,0.04
method2r,16,5,5,4,4.875,0.109,7,7,0,1.3592,1.3592,0.1
method2r,16,6,6,4,5.75,0.438,5,6,0,1.0465,1.2557,0.15
method2r,16,8,8,6,7.875,0.234,4,4,0,0.9618,0.9618,0.15
method3,16,3,3,2,2.875,0.109,7,7,0,1.1947,1.1947,0.03
method3,16,4,4,3,3.875,0.109,6,6,0,1.082,1.082,0.04
method3,16,5,5,4,4.875,0.109,5,5,0,0.9708,0.9708,0.05
method3,16,6,6,6,6.0,0.0,5,5,0,1.0465,1.0465,0.05
method3,16,8,8,7,7.875,0.109,5,5,0,1.2022,1.2022,0.07
method1,17,3,3,2,2.941,0.055,7,7,0,1.1244,1.1244,0.0
method1,17,4,4,3,3.882,0.104,6,6,0,1.0184,1.0184,0.0
method1,17,5,5,4,4.941,0.055,5,5,0,0.9137,0.9137,0.0
method1,17,6,6,4,5.882,0.221,5,5,0,0.9849,0.9849,0.0
method1,17,8,8,7,7.765,0.18,4,5,0,0.9052,1.1315,0.0
method2,17,3,4,2,3.059,0.173,7,7,0,1.1881,1.1881,0.03
method2,17,4,4,4,4.0,0.0,7,7,0,1.1881,1.1881,0.06
method2,17,5,5,2,4.824,0.498,7,7,0,1.2792,1.2792,0.19
method2,17,6,6,5,5.882,0.104,6,7,0,1.1819,1.3789,0.24
method2,17,8,8,7,7.765,0.18,4,5,0,0.9052,1.1315,0.32
method2r,17,3,4,2,3.059,0.173,7,7,0,1.1881,1.1881,0.04
method2r,17,4,4,4,4.0,0.0,7,7,0,1.1881,1.1881,0.07
method2r,17,5,5,2,4.824,0.498,7,7,0,1.2792,1.2792,0.18
method2r,17,6,6,5,5.882,0.104,6,7,0,1.1819,1.3789,0.24
method2r,17,8,8,7,7.765,0.18,4,5,0,0.9052,1.1315,0.29
method3,17,3,3,2,2.941,0.055,7,7,0,1.1244,1.1244,0.04
method3,17,4,4,3,3.882,0.104,6,6,0,1.0184,1.0184,0.05
method3,17,5,5,4,4.941,0.055,5,6,0,0.9137,1.0965,0.05
method3,17,6,6,5,5.765,0.18,5,5,0,0.9849,0.9849,0.07
method3,17,8,8,7,7.882,0.104,5,5,0,1.1315,1.1315,0.09
method1,18,3,3,1,2.889,0.21,7,8,0,1.0619,1.2137,0.0
method1,18,4,4,3,3.889,0.099,6,6,0,0.9618,0.9618,0.0
method1,18,5,5,5,5.0,0.0,6,6,0,1.0356,1.0356,0.0
method1,18,6,6,4,5.778,0.395,5,6,0,0.9302,1.1162,0.0
method1,18,8,8,6,7.778,0.284,5,5,0,1.0687,1.0687,0.0
method2,18,3,4,1,3.0,0.333,8,8,0,1.2824,1.2824,0.07
method2,18,4,4,1,3.778,0.506,8,8,0,1.2824,1.2824,0.1
method2,18,5,5,3,4.889,0.21,7,7,0,1.2082,1.2082,0.24
method2,18,6,6,4,5.778,0.284,6,7,0,1.1162,1.3023,0.35
method2,18,8,8,5,7.667,0.667,5,5,0,1.0687,1.0687,0.44
method2r,18,3,4,1,3.0,0.333,8,8,0,1.2824,1.2824,0.07
method2r,18,4,4,1,3.778,0.506,8,8,0,1.2824,1.2824,0.11
method2r,18,5,5,3,4.889,0.21,7,7,0,1.2082,1.2082,0.26
method2r,18,6,6,4,5.778,0.284,6,7,0,1.1162,1.3023,0.37
method2r,18,8,8,5,7.667,0.667,5,5,0,1.0687,1.0687,0.44
method3,18,3,3,3,3.0,0.0,8,8,0,1.2137,1.2137,0.04
method3,18,4,4,4,4.0,0.0,6,6,0,0.9618,0.9618,0.06
method3,18,5,5,4,4.889,0.099,6,6,0,1.0356,1.0356,0.07
method3,18,6,6,5,5.889,0.099,6,6,0,1.1162,1.1162,0.08
method3,18,8,8,7,7.889,0.099,5,5,0,1.0687,1.0687,0.1
method1,19,3,3,2,2.947,0.05,7,8,0,1.0061,1.1498,0.0
method1,19,4,4,4,4.0,0.0,7,8,0,1.063,1.2149,0.0
method1,19,5,5,4,4.947,0.05,6,6,0,0.9811,0.9811,0.0
method1,19,6,6,5,5.895,0.094,6,6,0,1.0575,1.0575,0.0
method1,19,8,8,6,7.789,0.271,4,6,0,0.8099,1.2149,0.0
method2,19,3,4,2,3.053,0.155,8,8,0,1.2149,1.2149,0.08
method2,19,4,4,2,3.789,0.377,8,8,0,1.2149,1.2149,0.14
method2,19,5,5,4,4.947,0.05,8,8,0,1.3081,1.3081,0.37
method2,19,6,6,5,5.895,0.094,7,7,0,1.2337,1.2337,0.55
method2,19,8,8,5,7.684,0.637,5,6,0,1.0124,1.2149,0.66
method2r,19,3,4,2,3.053,0.155,8,8,0,1.2149,1.2149,0.08
method2r,19,4,4,2,3.789,0.377,8,8,0,1.2149,1.2149,0.14
method2r,19,5,5,4,4.947,0.05,8,8,0,1.3081,1.3081,0.37
method2r,19,6,6,5,5.895,0.094,7,7,0,1.2337,1.2337,0.51
method2r,19,8,8,5,7.684,0.637,5,6,0,1.0124,1.2149,0.65
method3,19,3,3,2,2.947,0.05,8,8,0,1.1498,1.1498,0.05
method3,19,4,4,4,4.0,0.0,6,7,0,0.9112,1.063,0.06
method3,19,5,5,4,4.947,0.05,7,7,0,1.1446,1.1446,0.09
method3,19,6,6,5,5.895,0.094,7,7,0,1.2337,1.2337,0.09
method3,19,8,8,7,7.789,0.166,7,7,0,1.4174,1.4174,0.12
method1,20,3,3,3,3.0,0.0,8,8,0,1.0923,1.0923,0.0
method1,20,4,4,4,4.0,0.0,7,8,0,1.0099,1.1542,0.0
method1,20,5,5,5,5.0,0.0,6,7,0,0.932,1.0873,0.0
method1,20,6,6,4,5.9,0.19,6,6,0,1.0046,1.0046,0.0
method1,20,8,8,7,7.9,0.09,5,5,0,0.9618,0.9618,0.0
method1,20,10,10,8,9.6,0.34,5,5,0,1.0857,1.0857,0.0
method2,20,3,4,1,2.9,0.39,9,9,0,1.2984,1.2984,0.1
method2,20,4,4,1,3.7,0.61,8,9,0,1.1542,1.2984,0.18
method2,20,5,5,3,4.8,0.26,8,8,0,1.2427,1.2427,0.44
method2,20,6,6,3,5.7,0.81,6,7,0,1.0046,1.172,0.72
method2,20,8,8,3,7.6,1.54,6,6,0,1.1542,1.1542,0.92
method2,20,10,10,8,9.6,0.34,5,5,0,1.0857,1.0857,0.96
method2r,20,3,4,3,3.1,0.09,8,8,0,1.1542,1.1542,0.09
method2r,20,4,4,3,3.9,0.09,7,8,0,1.0099,1.1542,0.2
method2r,20,5,5,4,4.9,0.09,6,8,0,0.932,1.2427,0.46
method2r,20,6,6,3,5.7,0.81,6,7,0,1.0046,1.172,0.81
method2r,20,8,8,3,7.6,1.54,6,6,0,1.1542,1.1542,0.91
method2r,20,10,10,8,9.6,0.34,5,5,0,1.0857,1.0857,0.98
method3,20,3,3,2,2.9,0.09,9,9,0,1.2288,1.2288,0.08
method3,20,4,4,3,3.9,0.09,7,7,0,1.0099,1.0099,0.09
method3,20,5,5,4,4.9,0.09,7,7,0,1.0873,1.0873,0.1
method3,20,6,6,5,5.9,0.09,7,7,0,1.172,1.172,0.14
method3,20,8,8,7,7.9,0.09,7,7,0,1.3465,1.3465,0.16
method3,20,10,10,9,9.6,0.24,5,7,0,1.0857,1.52,0.16
