n,saddle,method,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
18,6,drop_l_hc,7,6,1,20,3,19,17.572,0
18,7,random,7,6,1,20,19,19,0.289,0
18,7,drop_alpha,7,5,2,20,2,18,0.536,0
18,7,hardcore_comarg,7,4,3,20,2,17,0.377,0
18,7,sdp_X_uw,7,4,3,20,2,17,1.409,0
18,7,lp_xu_plus_xw,7,6,1,20,2,19,0.794,0
18,7,hoffman_grad,7,7,0,0,,0,0.015,1
18,7,drop_e_max,7,4,3,20,2,17,13.392,0
18,7,drop_l_hc,7,6,1,20,4,19,16.914,0
18,8,random,7,6,1,20,6,19,0.29,0
18,8,drop_alpha,7,6,1,20,8,19,0.532,0
18,8,hardcore_comarg,7,4,3,20,2,17,0.374,0
18,8,sdp_X_uw,7,4,3,20,2,17,1.07,0
18,8,lp_xu_plus_xw,7,5,2,20,5,18,0.742,0
18,8,hoffman_grad,7,7,0,0,,0,0.015,1
18,8,drop_e_max,7,4,3,20,2,17,14.248,0
18,8,drop_l_hc,7,6,1,20,8,19,17.924,0
18,9,random,7,6,1,20,6,19,0.294,0
18,9,drop_alpha,7,5,2,20,4,18,0.543,0
18,9,hardcore_comarg,7,4,3,20,2,17,0.367,0
18,9,sdp_X_uw,7,4,3,20,2,17,1.178,0
18,9,lp_xu_plus_xw,7,6,1,20,4,19,0.74,0
18,9,hoffman_grad,7,7,0,0,,0,0.015,1
18,9,drop_e_max,7,4,3,20,2,17,14.063,0
18,9,drop_l_hc,7,7,0,20,,20,17.62,0
18,10,random,7,6,1,20,11,19,0.298,0
18,10,drop_alpha,7,5,2,20,3,18,0.493,0
18,10,hardcore_comarg,7,4,3,20,2,17,0.365,0
18,10,sdp_X_uw,7,4,3,20,2,17,1.006,0
18,10,lp_xu_plus_xw,7,6,1,20,5,19,0.732,0
18,10,hoffman_grad,7,7,0,0,,0,0.019,1
18,10,drop_e_max,7,4,3,20,2,17,13.174,0
18,10,drop_l_hc,7,5,2,20,3,18,15.896,0
18,11,random,7,5,2,20,4,18,0.291,0
18,11,drop_alpha,7,5,2,20,3,18,0.518,0
18,11,hardcore_comarg,7,4,3,20,2,17,0.371,0
18,11,sdp_X_uw,7,4,3,20,2,17,1.164,0
18,11,lp_xu_plus_xw,7,5,2,20,11,18,0.712,0
18,11,hoffman_grad,7,7,0,0,,0,0.015,1
18,11,drop_e_max,7,4,3,20,2,17,14.471,0
18,11,drop_l_hc,7,6,1,20,7,19,17.292,0
18,12,random,7,6,1,20,7,19,0.295,0
18,12,drop_alpha,7,6,1,20,7,19,0.495,0
18,12,hardcore_comarg,7,5,2,20,2,18,0.363,0
18,12,sdp_X_uw,7,6,1,20,2,19,1.064,0
18,12,lp_xu_plus_xw,7,6,1,20,5,19,0.791,0
18,12,hoffman_grad,7,7,0,0,,0,0.015,1
18,12,drop_e_max,7,5,2,20,2,18,12.831,0
18,12,drop_l_hc,7,6,1,20,5,19,16.333,0
18,13,random,7,6,1,20,15,19,0.288,0
18,13,drop_alpha,7,5,2,20,2,18,0.565,0
18,13,hardcore_comarg,7,4,3,20,2,17,0.376,0
18,13,sdp_X_uw,7,4,3,20,2,17,1.02,0
18,13,lp_xu_plus_xw,7,5,2,20,3,18,0.735,0
18,13,hoffman_grad,7,7,0,0,,0,0.015,1
18,13,drop_e_max,7,4,3,20,2,17,14.097,0
18,13,drop_l_hc,7,6,1,20,16,19,18.456,0
18,14,random,7,7,0,20,,20,0.294,0
18,14,drop_alpha,7,6,1,20,4,19,0.589,0
18,14,hardcore_comarg,7,4,3,20,2,17,0.407,0
18,14,sdp_X_uw,7,4,3,20,2,17,1.152,0
18,14,lp_xu_plus_xw,7,5,2,20,6,18,0.753,0
18,14,hoffman_grad,7,7,0,0,,0,0.016,1
18,14,drop_e_max,7,4,3,20,2,17,16.624,0
18,14,drop_l_hc,7,6,1,20,3,19,16.449,0
18,15,random,7,7,0,20,,20,0.289,0
18,15,drop_alpha,7,5,2,20,3,18,0.489,0
18,15,hardcore_comarg,7,4,3,20,2,17,0.371,0
18,15,sdp_X_uw,7,4,3,20,2,17,1.244,0
18,15,lp_xu_plus_xw,7,5,2,20,4,18,0.777,0
18,15,hoffman_grad,7,7,0,0,,0,0.015,1
18,15,drop_e_max,7,4,3,20,2,17,15.165,0
18,15,drop_l_hc,7,5,2,20,3,18,15.376,0
18,16,random,7,6,1,20,8,19,0.285,0
18,16,drop_alpha,7,6,1,20,4,19,0.506,0
18,16,hardcore_comarg,7,4,3,20,2,17,0.364,0
18,16,sdp_X_uw,7,4,3,20,2,17,0.988,0
18,16,lp_xu_plus_xw,7,5,2,20,6,18,0.673,0
18,16,hoffman_grad,7,7,0,0,,0,0.014,1
18,16,drop_e_max,7,4,3,20,2,17,14.273,0
18,16,drop_l_hc,7,5,2,20,2,18,14.399,0
18,17,random,8,6,2,20,5,18,0.281,0
18,17,drop_alpha,8,5,3,20,4,17,0.492,0
18,17,hardcore_comarg,8,5,3,20,2,17,0.366,0
18,17,sdp_X_uw,8,5,3,20,2,17,1.09,0
18,17,lp_xu_plus_xw,8,8,0,20,,20,0.745,0
18,17,hoffman_grad,8,8,0,0,,0,0.014,1
18,17,drop_e_max,8,5,3,20,2,17,14.266,0
18,17,drop_l_hc,8,7,1,20,3,19,17.989,0
18,18,random,7,6,1,20,8,19,0.291,0
18,18,drop_alpha,7,5,2,20,2,18,0.525,0
18,18,hardcore_comarg,7,4,3,20,3,17,0.37,0
18,18,sdp_X_uw,7,4,3,20,2,17,1.19,0
18,18,lp_xu_plus_xw,7,7,0,20,,20,0.809,0
18,18,hoffman_grad,7,7,0,0,,0,0.015,1
18,18,drop_e_max,7,4,3,20,2,17,14.879,0
18,18,drop_l_hc,7,7,0,20,,20,13.766,0
18,19,random,7,6,1,20,10,19,0.284,0
18,19,drop_alpha,7,6,1,20,11,19,0.498,0
18,19,hardcore_comarg,7,4,3,20,2,17,0.428,0
18,19,sdp_X_uw,7,4,3,20,2,17,1.004,0
