graph_id,source,n,d_max,alpha,c_log,hoffman,hoffman_t,theta,theta_t,theta_prime,theta_prime_t,chi_f,chi_f_t,clique_cover,clique_cover_t,hardcore,hardcore_t,hoffman_over_alpha,theta_over_alpha,theta_prime_over_alpha,chi_f_over_alpha,clique_cover_over_alpha,alpha_over_hardcore
63917d7f1fdb5aed,cayley_tabu,72,4,18,0.721348,24.00000000000002,0.0007,21.088313739612474,0.1797,21.088307281230488,0.3539,24.000007830295402,0.0022,30,0.0004,,,1.3333,1.1716,1.1716,1.3333,1.6667,
54acdb1a1d0b1313,sat_circulant_optimal,73,10,15,0.892386,21.630029818348802,0.0011,19.358390886246212,0.5856,18.82554420992934,1.4746,24.333350813543504,0.0033,28,0.0005,,,1.442,1.2906,1.255,1.6222,1.8667,
0b03c97e62d588eb,circulant_fast,74,6,18,0.81454,22.599106051697103,0.0016,22.59907717029225,0.2555,22.599136086794424,0.3902,24.66667060343704,0.0028,29,0.0004,,,1.2555,1.2555,1.2555,1.3704,1.6111,
bc83750fc93a81c3,disjoint_lift,75,7,15,0.719458,,0.0001,19.59231383388665,0.4463,19.592348569732177,5.094,25.000000003688626,0.0026,30,0.0004,,,,1.3062,1.3062,1.6667,2.0,
2b57c226dff11457,cayley_tabu,76,6,16,0.704982,20.961719004826143,0.0007,20.9617251893961,0.2136,20.961701505433798,0.3885,25.333337362217627,0.0054,31,0.0005,,,1.3101,1.3101,1.3101,1.5833,1.9375,
8d50dcb97bebb558,cayley_tabu_gap,77,4,21,0.786925,27.35153389910561,0.0004,24.162509089597258,0.3196,24.16249103052499,0.4112,25.666675465722825,0.003,33,0.0004,,,1.3025,1.1506,1.1506,1.2222,1.5714,
49ababfc6663ebef,cayley_tabu_gap,78,6,18,0.772769,27.11844316487057,0.0005,21.63330554065107,0.3131,21.633317107859728,0.9741,26.000004131191556,0.0028,30,0.0004,,,1.5066,1.2019,1.2019,1.4444,1.6667,
5f0be0c4bb996eef,sat_circulant_optimal,79,10,16,0.879584,23.790330513444196,0.0006,21.431207599299228,0.5444,21.316975203481107,5.6694,26.333379411846224,0.0031,30,0.0005,,,1.4869,1.3395,1.3323,1.6458,1.875,
da8cc0ede5f6cb7d,cayley_tabu_gap,80,7,16,0.719458,28.40660224666276,0.0013,21.224257146420896,0.4764,21.224257202938873,0.7469,26.666670909958718,0.0029,30,0.0005,,,1.7754,1.3265,1.3265,1.6667,1.875,
40cb8afc1d6131af,sat_circulant_optimal,81,10,15,0.804249,22.410089164545383,0.0045,19.871569388447604,0.5652,19.871561430434816,1.1255,26.999933875045787,0.0038,32,0.0005,,,1.494,1.3248,1.3248,1.8,2.1333,
0efedf7e478a5fe5,disjoint_lift,82,14,12,0.77633,24.567560662663773,0.001,18.28694083389373,0.613,18.286941273235232,1.4706,27.33330595696468,0.0088,32,0.0006,,,2.0473,1.5239,1.5239,2.2778,2.6667,
92d4298d15477cd0,circulant_fast,83,8,20,0.927033,27.39525167799032,0.0017,23.784014569799478,0.6122,23.366824724940294,7.0629,27.66818345428693,0.0028,36,0.0005,,,1.3698,1.1892,1.1683,1.3834,1.8,
f9507451e64ff7ce,disjoint_lift,84,6,18,0.717571,,0.0001,22.634516843549648,0.5189,22.60514884864477,1.5296,28.00002182309892,0.0028,35,0.0005,,,,1.2575,1.2558,1.5556,1.9444,
e6b38e78ed5e386b,cayley_tabu_gap,85,8,15,0.678915,20.615528128088332,0.0006,20.615530825933746,0.2935,20.615525635297345,0.4237,28.333380958538065,0.0037,31,0.0005,,,1.3744,1.3744,1.3744,1.8889,2.0667,
d16477ce1cdad7a2,cayley_tabu_gap,86,10,16,0.80799,30.14101904041067,0.0006,22.311666617066862,0.6187,22.276066608579807,0.9909,28.666687999256943,0.0031,36,0.0006,,,1.8838,1.3945,1.3923,1.7917,2.25,
a8999ac3dc7058e9,cayley_tabu_gap,87,8,18,0.79597,26.506927726035705,0.0007,23.461869310410876,0.5819,23.461895752669037,1.9234,29.00000764507201,0.005,35,0.0006,,,1.4726,1.3034,1.3034,1.6111,1.9444,
