graph_id,source,n,d,alpha,lam_min,hoffman,theta,theta_over_alpha,alpha_over_theta,theta_over_hoff,alpha_over_hoff,c_log
a1274b464ad3c682,sat_regular,13,3.076923,4,-2.0,5.121212198806246,4.2360717627874465,1.0590179406968616,0.9442710662125079,0.8271619293133127,0.7810650769230768,0.887812
d94f7922bff80191,sat_regular,13,2.615385,4,-1.855773,5.395704871087087,4.236067834124584,1.059016958531146,0.9442719419592653,0.785081455589533,0.741330390665735,0.887812
2f03f8e074d018e9,random,13,4.769231,4,-3.157678,5.178539831856276,4.405090040754542,1.1012725101886356,0.9080404629628966,0.850643266979664,0.772418505964485,0.9559
c903e6d73bec1204,regularity,13,6,4,-3.516414,4.803635276901572,4.04388509255833,1.0109712731395826,0.9891477894267845,0.8418384951087932,0.8327026864912337,1.030358
68a3f1fa8b1d6a89,polarity,13,3.692308,5,-2.201472,4.855820203672346,4.99999985361637,0.9999999707232741,1.0000000292767268,1.0296921310708713,1.0296921612168866,1.109765
899eb32ceacac284,sat_regular,13,1.692308,5,-1.0,4.828570876734758,5.000008659390709,1.0000017318781418,0.9999982681248575,1.0355048702882215,1.0355030769230769,1.109765
ea41502a2b9d30fe,cayley,13,2,6,-1.941884,6.4041691739280004,6.40422572372445,1.067370953954075,0.9368814059399879,1.0000088301534382,0.9368896787465558,1.331718
deb8b8e3b037c022,sat_exact,14,5.857143,3,-2.829537,4.560259846109216,3.7724196050072205,1.2574732016690735,0.7952455755499812,0.8272378619446049,0.6578572496388733,0.717571
64e21362be816e6f,sat_regular,14,5.857143,3,-2.761557,4.485803891538167,3.7590425733305945,1.2530141911101982,0.7980755581977711,0.8379863819774859,0.6687764495588127,0.717571
8e448089d65809c7,sat_regular,14,5.857143,3,-2.955942,4.695652884319169,3.732134195616508,1.2440447318721695,0.8038296167173143,0.7948062362274968,0.6388887922312799,0.770848
e822613277e729b5,circulant,14,4,4,-2.24698,5.035668434987786,4.505530764672676,1.126382691168169,0.8877977332578701,0.8947234757094574,0.7943334736274594,0.824397
f8d1e3091db6f467,circulant_fast,14,4,4,-2.24698,5.035668434987786,4.219825954358338,1.0549564885895846,0.9479063931223759,0.8379872521071919,0.7943334736274594,0.824397
d78fc3e17c94a47b,sat_regular,14,3.142857,4,-1.855773,5.197588539259757,4.472141985207514,1.1180354963018786,0.8944259849599551,0.8604263210578109,0.7695876596976031,0.824397
7cbbfec015bfbe22,circulant_fast,14,5,4,-2.692021,4.899660830359147,4.37769864016132,1.09442466004033,0.9137221012208822,0.8934697301977192,0.8163830392535147,0.887621
7225cc193ae6fe52,random,14,5.714286,4,-3.228912,5.054653603777976,4.249977055115852,1.062494263778963,0.9411815518356869,0.8408048084520195,0.7913499744097793,0.956761
623d853e40dfd182,regularity,14,3.857143,5,-2.527758,5.542546705109445,4.9999996026735705,0.9999999205347141,1.0000000794652921,0.902112308420293,0.9021123801069112,1.030496
15709c7e0ffdf75e,sat_regular,14,1.857143,5,-1.0,4.899999755000013,5.0000127409060955,1.0000025481812191,0.9999974518252741,1.0204108144707615,1.020408214285714,1.030496
220d4fe79b1c3a63,sat_exact,15,6.8,3,-3.084524,4.680838450086216,3.918462100961762,1.3061540336539206,0.765606486091487,0.8371282501513352,0.640910818006279,0.719458
5aafa301bd8a6811,sat_regular,15,6.666667,3,-3.041019,4.698883441429811,3.9300379338448383,1.310012644614946,0.7633514104697298,0.8363769782399576,0.6384495460238822,0.719458
1bf372abeadf9e80,sat_regular,15,6.666667,3,-3.228246,4.89379643863468,3.902434417490678,1.3008114724968927,0.7687509075242944,0.7974247532411499,0.6130210027364705,0.769437
6fddb27189724884,sat_regular,15,3.6,4,-2.0,5.357142857142858,4.579217460361768,1.144804365090442,0.8735116937827171,0.85478725926753,0.7466666666666666,0.769437
25a8fd678cf98a84,alpha_targeted,15,5.866667,4,-3.041543,5.121471653676776,4.45857833244086,1.114644583110215,0.8971469607017513,0.8705658517586413,0.7810255079959963,0.892977
7b179f6998a7ad13,circulant,15,6,4,-3.783386,5.800730953475617,4.522098434797093,1.1305246086992733,0.8845450972982812,0.7795738969909632,0.6895682685650719,0.892977
c50f5ab54731832a,circulant_fast,15,6,4,-2.618034,4.556782904314372,4.25643451215401,1.0641086280385026,0.939753680827985,0.9340876231176185,0.8778122820406457,0.892977
165bd50c87de1c22,circulant_fast,15,6,4,-2.827091,4.804115534778105,4.522094777128774,1.1305236942821935,0.8845458127570982,0.9412960084727944,0.8326194428595802,0.892977
4432e87baba9dcbb,alpha_targeted,15,5.866667,4,-3.306006,5.406285605079349,4.540469530226514,1.1351173825566285,0.8809661585374516,0.8398501044711035,0.7398795202831855,0.959277
d1192f6f49277da0,alpha_targeted,15,6.933333,4,-3.710314,5.228913548147548,4.332754556032708,1.083188639008177,0.9232002293853924,0.8286146856583003,0.7649772678718476,0.959277
d6107811d65bef28,regularity,15,3.866667,5,-2.728813,6.206097964060235,5.628758475690201,1.1257516951380402,0.8882953535125518,0.9069722244615812,0.8056592127541657,0.961797
7226fdc6db8cab8e,sat_regular,15,2,5,-1.0,5.0,4.999999893770594,0.9999999787541188,1.0000000212458815,0.9999999787541188,1.0,0.961797
880b0fb4383e5f23,circulant,16,4,4,-2.0,5.333333333333333,4.686290538843863,1.1715726347109658,0.8535535658416143,0.8786794760332244,0.75,0.721348
3e266130c5cc1766,sat_regular,16,7.5,3,-3.236068,4.8227235520490375,4.000025039605057,1.3333416798683524,0.7499953051034414,0.8294120524294951,0.6220551453183307,0.721348
