n,d_max,alpha,c_log,E_max,tightness,is_regular,graph_id
18,4,6,0.961797,5.971799432304967,0.9952999053841611,1,fc885a0250e91f1b
18,5,6,1.035558,5.957909766829841,0.9929849611383069,1,779a27daa4930fb1
18,6,6,1.116221,5.9692747541821785,0.9948791256970297,1,a107a2bf38145367
19,6,4,0.704982,3.9919033900027614,0.9979758475006903,1,6a8d281aabad2908
19,7,4,0.757324,3.9904327831537416,0.9976081957884354,0,036e4b86cece44c1
19,7,4,0.757324,3.9904771639425616,0.9976192909856404,0,0cad5e72a3700b09
19,7,4,0.757324,3.99038752761045,0.9975968819026125,0,29b0fc9ad16278b2
19,7,4,0.757324,3.99038752761045,0.9975968819026125,0,3ef073124f13bf77
19,7,4,0.757324,3.9911821582480913,0.9977955395620228,0,45d9b4d23467f8ae
19,7,4,0.757324,3.9900961747266392,0.9975240436816598,0,6fb4c29b52abb18b
19,7,4,0.757324,3.9896745596904184,0.9974186399226046,0,7015b8a8e605c292
19,7,4,0.757324,3.990477163942563,0.9976192909856407,0,777eef443fc6478a
19,7,4,0.757324,3.990697890575152,0.997674472643788,0,858388b4bed972c6
19,7,4,0.757324,3.9900961747266397,0.9975240436816599,0,aee5772d81a2bde9
19,7,4,0.757324,3.990432783153742,0.9976081957884355,0,e3626dd7fd122011
19,7,4,0.757324,3.990615046011616,0.997653761502904,0,eb958385b1f1314a
19,7,4,0.757324,3.9911041260646227,0.9977760315161557,0,ebb47cb5aa3c95d2
19,7,4,0.757324,3.9900961747266397,0.9975240436816599,0,ee5b248e874a46fc
19,7,4,0.757324,3.991033123991815,0.9977582809979537,0,ef2ea59d76d6b322
19,4,5,0.759313,4.99121753048997,0.998243506097994,0,8456b132114f366f
19,4,5,0.759313,4.991683296382895,0.998336659276579,0,d63495adef87ed4b
19,8,4,0.809934,3.990037344417335,0.9975093361043338,1,27a0f604bda61c0c
19,8,4,0.809934,3.990037344417335,0.9975093361043338,1,a58d9c4c07795f3e
19,5,6,0.981055,5.958677590863242,0.9931129318105403,0,13593918b1694d2d
19,2,7,1.063038,6.986693001273852,0.9980990001819788,0,8b3e117ff97b09dd
19,4,7,1.063038,6.725845991454164,0.9608351416363091,1,a4e5aaeaf3cfe2d5
20,7,4,0.719458,3.992796547853664,0.998199136963416,1,18147bf6fda98e69
20,7,4,0.719458,3.9928147455454983,0.9982036863863746,0,7ef7f0c419362c01
20,7,4,0.719458,3.9922693241161413,0.9980673310290353,0,cdb4af5bd233d3d3
20,7,4,0.719458,3.9918982261812426,0.9979745565453106,1,d76f4a61474cfb29
20,7,4,0.719458,3.9926850564615037,0.9981712641153759,0,ee577f249397b84a
20,8,4,0.769437,3.990141441410084,0.997535360352521,0,0412a1d0bf43abb9
20,8,4,0.769437,3.989995250588563,0.9974988126471408,0,16ea2f0b98883460
20,8,4,0.769437,3.989843138466559,0.9974607846166398,0,1877743d92093496
20,8,4,0.769437,3.990140151668391,0.9975350379170977,0,216af52951f23b35
20,8,4,0.769437,3.9913320375523464,0.9978330093880866,1,517e6a25ff72f0ce
20,8,4,0.769437,3.990941598475279,0.9977353996188197,1,56e3dfc2e07344e1
20,8,4,0.769437,3.9895262638173468,0.9973815659543367,1,7834164967efd010
20,8,4,0.769437,3.9903737134793826,0.9975934283698457,0,78382ea95153fee4
20,8,4,0.769437,3.9904204235900345,0.9976051058975086,0,7da65895359fdd7b
20,8,4,0.769437,3.9901895028994883,0.9975473757248721,0,85ec4c68aa00be01
20,8,4,0.769437,3.9898952108750376,0.9974738027187594,0,87d53735a83a12f0
20,8,4,0.769437,3.9903737134793835,0.9975934283698459,0,9ae85a42c6c89f6b
20,8,4,0.769437,3.990093272077261,0.9975233180193153,0,b68a646e94252b4d
20,8,4,0.769437,3.9899952505885623,0.9974988126471406,0,d35703ee153617ef
20,8,4,0.769437,3.9900929609419196,0.9975232402354799,0,dc66bb7c75177120
20,8,4,0.769437,3.990236223597684,0.997559055899421,0,e0daf3b3a862e869
20,8,4,0.769437,3.990189502899489,0.9975473757248723,0,e2b8b49b19bb004e
20,8,4,0.769437,3.9899952505885623,0.9974988126471406,0,e549a45d553c0db1
20,5,5,0.776669,4.991281155253467,0.9982562310506934,0,0fa755aaa2cab331
20,5,5,0.776669,4.991281155253467,0.9982562310506934,0,ebfc95f97c7dd2b8
20,6,5,0.837166,4.987030414069461,0.9974060828138922,1,32d8df5c7be49228
20,4,6,0.865617,5.9896866798082975,0.9982811133013829,0,4b2e4908e1425138
20,4,6,0.865617,5.9880310712387,0.9980051785397833,0,753f7baf2f9d096a
20,7,5,0.899322,4.978788848257413,0.9957577696514827,0,8164cb9cb2f40dcb
20,7,5,0.899322,4.975528639857406,0.9951057279714812,0,faf540addd55bc8d
20,5,6,0.932002,5.970161838133378,0.9950269730222296,1,cb59de06cfb3d6a2
20,5,6,0.932002,5.974532289704106,0.995755381617351,1,cb59fbc4d0485984
20,8,5,0.961797,4.973013575494887,0.9946027150989775,0,4beaf44c689a3561
20,8,5,0.961797,4.974918278016712,0.9949836556033423,0,7483a14f45b94fed
20,8,5,0.961797,4.975771420192405,0.995154284038481,0,bdb472884585cd8f
20,6,6,1.004599,5.9658100104706655,0.9943016684117776,0,07f424bb4622c2c8
20,6,6,1.004599,5.969382010239043,0.9948970017065072,0,f9edf0bcd54bdc88
20,6,6,1.004599,5.954297359956488,0.9923828933260813,1,ff04c26c59b9f4c3
20,4,7,1.009887,6.962546087285413,0.9946494410407734,0,da9912b6f52dc551
20,2,7,1.009887,6.9875228733490715,0.9982175533355816,0,fd18632b0974b0c2
21,8,4,0.732797,3.9913744728937135,0.9978436182234284,0,07297a07e78eb31f
21,8,4,0.732797,3.991685102293804,0.997921275573451,0,4ccff674c67f932e
21,8,4,0.732797,3.992043432873101,0.9980108582182753,0,681ac51b5e89029f
21,8,4,0.732797,3.9912250567221474,0.9978062641805369,1,8812a7612418bc72
21,8,4,0.732797,3.9916637653725746,0.9979159413431437,0,8eb3d360d94b77e5
21,8,4,0.732797,3.988408836574243,0.9971022091435607,1,94aba0c67d46d31a
21,8,4,0.732797,3.992919911394975,0.9982299778487438,0,94b14848451457ef
21,8,4,0.732797,3.9917372944465805,0.9979343236116451,0,a6eeb2d295cd1a35
21,8,4,0.732797,3.9914226485759143,0.9978556621439786,0,a90a2a624d5278fe
21,8,4,0.732797,3.9915659543260618,0.9978914885815154,0,ab0e65c9373e0a76
21,8,4,0.732797,3.99178883547194,0.997947208867985,0,caa8814a96434218
21,8,4,0.732797,3.991015806160541,0.9977539515401352,0,cd4e95f042cc2955
21,8,4,0.732797,3.991556414494405,0.9978891036236013,0,d0b33bd8e7619e37
21,8,4,0.732797,3.9928865946365972,0.9982216486591493,0,d49b17a57ceabb1e
21,8,4,0.732797,3.9917579035823025,0.9979394758955756,0,da5f986e127d1726
21,4,6,0.824397,5.9850533580193375,0.9975088930032229,1,3353237deb81546c
21,8,5,0.915997,4.98505814597693,0.9970116291953859,1,ed46c4ec5a03a8d3
21,6,6,0.956761,5.944705863874228,0.9907843106457047,1,6b5d2c5880afb01a
21,6,6,0.956761,5.959350643506073,0.9932251072510122,1,bf9389f66cab1db2
22,8,4,0.699489,3.9931987115978393,0.9982996778994598,1,aa356a092d0eb4fc
22,9,4,0.744741,3.9909672405855225,0.9977418101463806,0,11d03b4fccc07e35
22,9,4,0.744741,3.9912669522190636,0.9978167380547659,0,19b2ab86c61de58d
22,9,4,0.744741,3.991354509153953,0.9978386272884883,0,292ad5d13dad344b
22,9,4,0.744741,3.9909732754288454,0.9977433188572113,0,2c76d1d496ce53e9
22,9,4,0.744741,3.991115532499279,0.9977788831248198,0,2c8c997efb8892bc
22,9,4,0.744741,3.9913545091539535,0.9978386272884884,0,338e24d31bae895b
22,9,4,0.744741,3.9915210345958645,0.9978802586489661,0,3d1610543ce4236b
22,9,4,0.744741,3.991251644514605,0.9978129111286512,0,5386f940203791ff
22,9,4,0.744741,3.9909672405855225,0.9977418101463806,0,7075dcb39f21da48
22,9,4,0.744741,3.9911155324992786,0.9977788831248197,0,7f5f7ae75ccb9083
22,9,4,0.744741,3.991322806779437,0.9978307016948592,0,9bb3f90afaeacf63
22,9,4,0.744741,3.991001105143722,0.9977502762859305,0,b88d4c284d9a153d
22,9,4,0.744741,3.991062191910234,0.9977655479775585,0,caa3b51aaf0dfd76
22,9,4,0.744741,3.991089042921775,0.9977722607304438,0,f137cb876a0129d7
22,9,4,0.744741,3.9914774277972014,0.9978693569493003,0,f97ef90acbae4383
22,4,6,0.786925,5.985062186319242,0.9975103643865403,1,5a5b8bb311071f06
22,7,5,0.817566,4.988043810381745,0.997608762076349,1,5e39901f5d257c59
22,10,5,0.987033,4.975566031110989,0.9951132062221978,0,5bc7fedd5b59e1b0
22,4,8,1.049233,7.949307104392147,0.9936633880490183,1,597909979984df6c
