n,trials,best_c_log,best_alpha,best_d_max,best_m,mean_c_log,median_c_log,std_c_log,min_d_max,max_d_max,median_d_max,mean_alpha,mean_m,E_local_hc_best,hc_tightness_lb_best,elapsed_s
34,30,1.1881017983791464,7,16,242,1.471732162751899,1.4118244954590446,0.16359616113266617,16,20,17.0,8.233333333333333,248.93333333333334,1.038675713893107,0.14838224484187243,0.6310405731201172
35,30,1.3190354659556238,8,16,254,1.5068058017521604,1.5429224843230989,0.12224242654629654,16,18,18.0,8.6,261.6333333333333,1.0465369541569267,0.13081711926961584,0.6809272766113281
36,30,1.3333898012668755,8,17,266,1.4706377103830277,1.4670142261022912,0.10439970291907992,17,20,18.0,8.5,273.2,1.0561165699830306,0.13201457124787883,0.7969858646392822
37,30,1.2973522390704735,8,17,283,1.4878263648432448,1.514814959846307,0.1174701773908767,17,20,18.0,8.666666666666666,286.9,1.0433927397922076,0.13042409247402595,0.987952470779419
38,30,1.3110679184634704,8,18,290,1.5029189803215839,1.5016280658996966,0.13119329743638708,18,21,19.0,8.9,300.7,1.077545638583499,0.13469320482293737,0.9711940288543701
39,30,1.2774507923490226,8,18,309,1.4956739386416664,1.489117422924707,0.1281504725363223,18,21,19.0,8.966666666666667,312.93333333333334,1.0608592579235208,0.1326074072404401,1.1689517498016357
40,30,1.2455145225402968,8,18,322,1.4716390025021218,1.4770131952402963,0.1151404176812212,18,21,19.0,9.033333333333333,327.8,1.0672608785846804,0.13340760982308505,1.324399471282959
41,30,1.2590911543428418,8,19,335,1.461484810324023,1.416477548635697,0.08954469217009785,18,21,19.0,9.2,340.1333333333333,1.0750727135003695,0.13438408918754619,1.5067565441131592
42,30,1.229112793525155,8,19,353,1.504801322815363,1.4306065744085745,0.14832888705100244,19,22,20.0,9.433333333333334,354.76666666666665,1.0777305800249828,0.13471632250312285,1.6719584465026855
43,30,1.3505948719549667,9,19,362,1.5097532595292682,1.526628625571366,0.11817200486209564,19,23,20.0,9.6,369.5,1.0908131778139187,0.12120146420154652,1.7928390502929688
44,30,1.3198995339559905,9,19,376,1.4809591266472955,1.4919325204447438,0.11141296200678276,19,24,20.0,9.6,381.73333333333335,1.099158881886699,0.12212876465407768,2.0774986743927
45,30,1.3352328027813363,9,20,388,1.5263796901823463,1.5328074475142386,0.09925481425609362,20,23,21.0,9.933333333333334,399.03333333333336,1.1130359055743153,0.12367065617492393,2.30733060836792
46,30,1.3062060027208724,9,20,412,1.5111398120153996,1.4994855464813202,0.1141577021466224,20,24,21.0,10.0,412.06666666666666,1.0909927225907257,0.12122141362119174,2.7865493297576904
47,30,1.3208234388154607,9,21,423,1.5033290342400416,1.4675815986838452,0.11016000008129234,20,25,21.0,10.1,428.23333333333335,1.111325891777677,0.1234806546419641,3.0120911598205566
48,30,1.2933062838401386,9,21,437,1.5184800977925836,1.4827791602647489,0.11169827552858883,21,24,22.0,10.3,441.2,1.124790505064462,0.12497672278494022,3.2256555557250977
49,30,1.4076803089416474,10,21,458,1.5045211263692098,1.4525183610756724,0.09038910173979668,21,23,22.0,10.366666666666667,456.03333333333336,1.116443210316675,0.1116443210316675,3.7207822799682617
50,30,1.3795267027628146,10,21,473,1.5134734250393493,1.4670733489574845,0.09896455386655374,21,25,23.0,10.466666666666667,475.5,1.1219060132094953,0.11219060132094953,4.473855257034302
51,30,1.3524771595713867,10,21,481,1.4843796464984955,1.4383072048602792,0.10110076806707839,21,25,23.0,10.366666666666667,488.5,1.1463445339516374,0.11463445339516373,4.242926836013794
52,30,1.3687192248597684,10,22,511,1.5252210424989956,1.551712196012724,0.1032740598864874,22,25,23.0,10.766666666666667,509.53333333333336,1.1235510744604096,0.11235510744604096,5.922613859176636
53,30,1.3428943338246782,10,22,510,1.5051596243615373,1.4998091873079282,0.14135642458335923,22,27,23.0,10.8,521.5333333333333,1.161762224455648,0.1161762224455648,6.456742286682129
54,30,1.3584012490347082,10,23,529,1.525806926395357,1.4942413739381788,0.09329207778887975,22,25,23.0,11.1,540.3333333333334,1.1648409139282396,0.11648409139282397,7.569312334060669
55,30,1.3337030445068043,10,23,547,1.5169015433918713,1.5103583061317993,0.07947881088241207,22,26,24.0,11.1,554.9,1.1683936839004125,0.11683936839004125,7.977722406387329
56,30,1.3485342019033921,10,24,574,1.5174767852542839,1.504493395885675,0.07730867827120445,23,25,24.0,11.233333333333333,572.4333333333333,1.1533692739799168,0.11533692739799169,7.616367816925049
57,30,1.4155970910993272,11,23,583,1.5141424538832207,1.498834271963976,0.07893162416105469,23,26,24.0,11.3,590.0333333333333,1.1717429989943628,0.10652209081766935,8.803951025009155
58,30,1.391190244701063,11,23,599,1.5336324742466836,1.5134709561899753,0.11780859783213836,23,27,25.0,11.533333333333333,605.7666666666667,1.1849839628808307,0.10772581480734825,9.347018003463745
59,30,1.3676107490281637,11,23,622,1.5406338726244628,1.535957599456067,0.10403384304361886,23,27,25.0,11.7,626.3666666666667,1.1757023779740672,0.10688203436127884,12.98471474647522
60,30,1.344817236544361,11,23,634,1.4707080618742792,1.4434572413413767,0.08686677937044879,23,26,25.0,11.433333333333334,640.8,1.1938378316587068,0.10853071196897335,12.389707803726196
61,30,1.400550057408961,11,25,656,1.528487813177517,1.5278727899006848,0.0752153829327545,24,27,25.0,11.9,661.3333333333334,1.1905006228307726,0.10822732934825206,16.224313497543335
62,30,1.3779605403539779,11,25,681,1.5111518970961504,1.5032296803861578,0.08181681087365367,25,28,25.0,11.866666666666667,677.4333333333333,1.1825923475859124,0.10750839523508295,18.298957586288452
63,30,1.3560881508245497,11,25,687,1.5482885448531971,1.520022778511144,0.07660696241501971,25,28,26.0,12.2,699.1666666666666,1.2124466267281175,0.11022242061164705,16.790727615356445
